,pc1,pc2,pc3,pc4
acutifolium,-1.1535768858312436,0.6690727238586738,-0.36088779851287384,0.7316224008670776
alpinum,-0.170574921265263,0.20441936374810296,0.7974322967315286,1.020232290979493
ayavacense,-0.5194908495775328,0.4336267481199103,0.14790740462676238,0.30553670946916384
blandum,-1.3340181316152349,0.23000608839060632,-0.1679463097428537,0.041119496445023634
caudatum,0.6532906775251702,0.5521811577719752,1.031754348067947,1.3633791572383955
ciliatum,1.9533637906105088,2.816773138866528,-1.0070113023555607,-1.1790609021187684
costaricanum,-1.3442063554785622,-0.10149253863509786,0.08077771021734305,-0.3678641895177717
dentatum,1.891199503088045,2.1840005712680277,-0.30280828160168144,-0.24038665017095204
discolor,0.8917469096040819,-1.0069575184627242,-1.9279361757203035,0.40230742623019417
disjunctum,1.018708064257348,-1.6383103968425563,2.0022229863132037,-1.1790655531810699
fuscum,-0.9079421861187116,-0.23928711637700914,0.5924675260672065,0.08502684481311397
hallii,-0.916937596205069,0.3191840606967444,-0.14429082267489848,-0.1724429076222381
hartwegii,-1.571328410923402,-0.6041784613748309,0.3741282360011923,-0.7500816545186296
jamesonii,0.28126480904532714,0.0838023190129495,0.03584003474287808,0.1067657940576243
jucundum,2.171941721554608,0.021026244616663307,1.2138947402389646,-0.27434277904955623
lasiophyllum,0.6872476828658889,-0.09002747792940584,0.37799397942726326,-0.3365422221840539
lautum,-1.0075044831193494,0.6768750230936703,-0.26611841201172626,0.7822905150721169
loeseneri,-0.0627324979650827,1.4524411674894075,-0.9283263412162027,-0.09186023273031606
microcarpum,3.7627412157389104,-0.44802521982841764,-0.732638866837845,0.2005205857753482
microphyllum,-1.5175999390477901,0.18216297836276363,-0.19841034266045898,0.214314271252425
new_name_1,-1.2216700303386125,0.24524590036002672,-0.1967619335961604,-0.06457743969189646
new_name_2,-2.729222094462654,-0.5694934431143842,-0.5175072103961409,-1.3486875707836838
new_sp_1,0.8815832633967728,-1.6272639015387698,-1.3033169813694112,0.3712582778000252
new_sp_2,-0.8759376870928982,-0.19944376985662957,0.42485613327916893,-0.12346871233450377
obtusatum,-1.6158557465392305,0.30001281432216814,-0.34960313548450855,0.3670143333723025
pichinchense,-0.2022909670896883,-0.29537740187166,0.15067816431939787,0.25169427686281903
reticulatum,1.2535556874613372,-1.5007578995820525,-1.2549629970632779,0.10167807829204956
seemenii,-0.8878430784409836,0.12609006895668487,0.1976993359918197,-0.06763103745274301
stellato-tomentosum,1.095536736009041,0.09220611939202791,0.5683142422889866,0.23682140603528629
stenocalyx,1.106205039099293,1.7923603571285252,-0.5398955444673766,-0.9789931091918445
subsessile,-0.9695279868761796,0.25993041521313437,0.10294929730119345,0.4328384144610174
sulcatum,2.0752841370034165,-1.4911540633013731,-0.6568228734119412,0.5290636178979049
tiliaefolium,3.119688805597803,0.03091085441270215,1.8613362955877184,0.009890676618942449
tinoides_1,-0.7586067154486835,-0.3377219419572322,0.7059660219997679,-0.3066046138428816
tinoides_2,-1.2671223713214883,-0.2056711325397388,0.29505935009211665,-0.08789898423821552
toronis,-0.791336222100491,-0.3672306623833794,0.7251556991050806,-0.1788331910470621
triphyllum,-1.4383521433366269,0.16526856231776862,-0.13996531779825727,0.17160458404944248
undulatum,0.5481046173804599,-2.397032448406868,-0.9621038284685344,-0.7735394758734367
villosum,-0.12778536004323468,0.28182871660306974,0.2708806729904767,0.7969020679598565
