 ,Species,Region(s),Leaf form
1,Viburnum loesneri Graebn.,c&wMX,DEN
2,Viburnum stenocalyx (Oerst.) Hemsl.,c&wMX,DEN
3,Viburnum caudatum Greenm.,eMX,IGE 
4,Viburnum ciliatum Greenm.,eMX,DEN
5,Viburnum hirsutum C.V.Morton,eMX,DEN
6,Viburnum microcarpum Schlect.&Cham.,eMX,LPT
7,Viburnum tiliaefolium (Oerst.) Hemsl.,eMX,LPT
8,Viburnum acutifolium Benth.,Oax,SGE
9,Viburnum fuscum (Oerst.) Hemsl.,Oax,IGE
10,Viburnum New Species 2 (former “fuscum”) ,Oax,IGE
11,Viburnum membranaceum (Oerst.) Hemsl.,Oax ,DEN 
12,Viburnum microphyllum (Oerst.) Hemsl.,Oax (c&wMX),SGE
13,Viburnum sulcatum (Oerst.) Hemsl.,Oax,LPT
14,Viburnum New Species 1 (former “sulcatum”),Oax,LPT
15,Viburnum blandum C.V.Morton,Chi/CA,SGE
16,Viburnum discolor Benth.,Chi/CA,LPT
17,Viburnum disjunctum C.V.Morton,Chi/CA,LPT
18,Viburnum hartwegii Benth.,Chi/CA,IGE
19,Viburnum hondurense Standl.,Chi/CA,IGE
20,Viburnum jucundum C.V.Morton,Chi/CA,LPT
21,Viburnum lautum C.V.Morton,Chi/CA,SGE 
22,Viburnum obtusatum D.N.Gibson,Chi/CA (eMX),SGE
23,Viburnum costaricanum (Oerst.) Hemsl.,CR/PA,IGE
24,Viburnum stellato-tomentosum (Oerst.) Hemsl.,CR/PA,LPT
25,Viburnum venustum C.V.Morton,CR/PA,IGE
26,Viburnum alpinum Macfad.,JM/CU,IGE (LPT)
27,Viburnum villosum Sw.,JM/CU,IGE
28,Viburnum subsessile Killip & A.C.Sm.,wCorCO,IGE
29,Viburnum tinoides L.f. (1),wCorCO,IGE 
30,Viburnum undulatum Killip & A.C.Sm.,wCorCO,LPT
31,Viburnum lasiophyllum Benth.,eCorCO,LPT 
32,Viburnum tinoides L.f. (2),eCorCO,IGE
33,Viburnum triphyllum Benth.,eCorCO,SGE
34,Viburnum hallii Killip & A.C.Sm.,sCO/nEC,IGE 
35,Viburnum jamesonii (Oerst.) Killip & A.C.Sm.,sCO/nEC,LPT 
36,Viburnum pichinchense Benth.,sCO/nEC,LPT 
37,Viburnum ayavacense Kunth,sEC/nPE ,IGE 
38,Viburnum incarum Graebn.,sEC/nPE,SGE
39,Viburnum New Name 1 (Oreinotinus laurifolius Oerst.),sEC/nPE,SGE
40,Viburnum reticulatum Ruiz & Pav. ex Oerst.,sEC/nPE,LPT
41,Viburnum toronis Killip & A.C.Sm.,sEC/nPE (sCO/nEC),  IGE 
42,Viburnum seemenii Graebn.,sPE/BO,IGE
43,Viburnum New Name 2 (V. seemenii f. minor Killip & A.C.Sm.) ,sPE/BO,  SGE
44,Viburnum dentatum L.,ENA,DEN 
