Present paper [voucher specimen],Landis et al. (2021) [voucher specimens]
Viburnum loeseneri Graebn. [MJD 75],loeseneri [D. Stevens 2547 - rad | MJD 2547 - cp]
Viburnum stenocalyx (Oerst.) Hemsl.  [PWS 3234],stenocalyx [PWS 3208 - rad | MJD 60 - cp]
Viburnum caudatum Greenm. [PWS 3216] ,caudatum [MJD C2 - rad | MJD 64 - cp] 
Viburnum ciliatum Greenm. [PWS 3220],ciliatum [PWS 3220 - rad | MJD 48 - cp]
Viburnum hirsutum C.V.Morton [PWS 3206],not included
Viburnum microcarpum Schlect.&Cham. [PWS 3202],microcarpum [PWS 3202 - rad | F. Ventura A. 819 (NY) - cp]
Viburnum tiliaefolium (Oerst.) Hemsl. [PWS 3222],not included
Viburnum acutifolium Benth. [PWS 3059],"acutifolium [""Mirador"", Highway 175, Oaxaca, Mex. November 6, 2005 - rad]"
Viburnum fuscum (Oerst.) Hemsl. [EJE 604],not included 
Viburnum New Species 2 (former “fuscum”) [PWS 3058] ,not included
Viburnum membranaceum (Oerst.) Hemsl. [EJE 606],not included
Viburnum microphyllum (Oerst.) Hemsl. [DE 002],microphyllum [MJD 2492 - cp]
Viburnum sulcatum (Oerst.) Hemsl.  [MJD 001_tuton_111716] ,not included
Viburnum New Species 1  (“sulcatum” Mirador)  [MJD 003],"sulcatum [""Mirador"", Highway 175, Oaxaca, Mex. November 6, 2005 - rad | PWS 3053 - cp]"
Viburnum blandum C.V.Morton [PWS 3088],blandum [MJD 464 - cp]
Viburnum discolor Benth. [EJE 629],"discolor [M. Veliz, N. Gallardo, M. Vasquez 35-99 (MO)]"
Viburnum disjunctum C.V.Morton [EJE 615] ,"disjunctum [MJD-4, 1989 (MJD66-2) - rad | MJD 700 - cp]"
  Viburnum hartwegii Benth. [PWS 3186],hartwegii [PWS 1773 rad | MJD 40 - cp]
Viburnum hondurense Standl.,not included
Viburnum jucundum C.V.Morton [MKM 20],jucundum [PWS 3188 - rad | MJD 244 - cp]
Viburnum lautum C.V.Morton [PWS 3106],lautum [PWS 3189 - rad | MJD 72 - cp]
Viburnum obtusatum D.N.Gibson [PWS 3100],obtusatum [PWS 3100 - rad | PWS 3100 - cp ]
Viburnum costaricanum (Oerst.) Hemsl. [MJD 85],costaricanum [MJD 85 - rad | MJD 85 - cp]
Viburnum stellato-tomentosum (Oerst.) Hemsl.  [MJD 83],stellato-tomentosum [MD 640 - rad | MD 640 - cp]
Viburnum venustum C.V.Morton,venustum [W. Haber & W. Zuchowski 11072 (MO) - cp]
Viburnum alpinum Macfad. [PWS 3924],not included
Viburnum villosum Sw. [PWS 3918],villosum [MJD 628 - cp]
Viburnum subsessile Killip & A.C.Sm.  [PWS 2171],subsessile [PWS 2172 - cp]
Viburnum tinoides L.f. (1) [PWS 2151],tinoides [PWS 2167 - cp]
Viburnum undulatum Killip & A.C.Sm. [PWS 2165],undulatum [PWS 2164 - cp] anabaptista [PWS 2160 - cp]
Viburnum lasiophyllum Benth. [PWS 2174],lasiophylum [PWS 2174 - cp]
Viburnum tinoides L.f. (2) [PWS 2177],glabratum [PWS 2152 - cp]
Viburnum triphyllum Benth. [PWS 2180],not included
Viburnum hallii Killip & A.C.Sm.  [PWS 1830],hallii [PWS 1626 -cp]
Viburnum jamesonii (Oerst.) Killip & A.C.Sm. [PWS 1636],jamesonii [PWS 1636 - rad | PWS 1636 - cp]
Viburnum pichinchense Benth. [PWS 1669],"pichinchense [PWS 1665, 1669 - rad | PWS 1669 - cp]"
Viburnum ayavacense Kunth [PWS 4006] ,not included
Viburnum incarum Graebn.,not included
New Name 1 (Oreinotinus laurifolius Oerst.) [PWS 1783],triphyllum [EE 2014-04 (Peru) - rad | PWS 1783 (southern EC) - cp]
Viburnum reticulatum Ruiz & Pav. ex Oerst. [PWS 1706],"obtectum [PWS 1701 - cp] stipitatum [PWS 1708 - cp] reticulatum [PWS 1702, 1719 - rad]"
Viburnum toronis Killip & A.C.Sm. [PWS 1799],toronis [PWS 1799 - rad | PWS 1799 - rad]
Viburnum seemenii Graebn. [PWS 3884],"seemenii [Fuentes 4724 (GH) - rad | M. Lewis 37409 (GH) - cp]
ayavacense [Fernandez 1930 (MO) - cp]"
New Name 2 (V. seemenii f. minor Killip & A.C.Sm.)  [PWS 3895],"not included 
"
V. dentatum L. [ELS 027],dentatum [ELS 650 – rad | MJD & RCW 33 - cp]  
